
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,33-238,NOR,,WAS,L 32-40,*,24,52,46.15,339,3,2,70.9,6.52,5.94,0,0,,0,0,0
2,2,2012-09-16,33-245,NOR,@,CAR,L 27-35,*,31,49,63.27,325,1,2,72.2,6.63,5.20,2,0,0.00,1,1,6
3,3,2012-09-23,33-252,NOR,,KAN,L 24-27,*,20,36,55.56,240,3,1,92.4,6.67,7.08,1,-1,-1.00,0,0,0
4,4,2012-09-30,33-259,NOR,@,GNB,L 27-28,*,35,54,64.81,446,3,0,109.0,8.26,9.37,0,0,,0,0,0
5,5,2012-10-07,33-266,NOR,,SDG,W 31-24,*,29,45,64.44,370,4,1,110.4,8.22,9.00,2,-2,-1.00,0,0,0
6,6,2012-10-21,33-280,NOR,@,TAM,W 35-28,*,27,37,72.97,377,4,1,130.1,10.19,11.14,1,1,1.00,0,0,0
7,7,2012-10-28,33-287,NOR,@,DEN,L 14-34,*,22,42,52.38,213,2,1,72.8,5.07,4.95,2,2,1.00,0,0,0
8,8,2012-11-05,33-295,NOR,,PHI,W 28-13,*,21,27,77.78,239,2,0,128.2,8.85,10.33,1,-1,-1.00,0,0,0
9,9,2012-11-11,33-301,NOR,,ATL,W 31-27,*,21,32,65.63,298,3,1,113.8,9.31,9.78,1,-1,-1.00,0,0,0
10,10,2012-11-18,33-308,NOR,@,OAK,W 38-17,*,20,27,74.07,219,3,0,134.6,8.11,10.33,0,0,,0,0,0
11,11,2012-11-25,33-315,NOR,,SFO,L 21-31,*,26,41,63.41,267,3,2,86.1,6.51,5.78,2,-2,-1.00,0,0,0
12,12,2012-11-29,33-319,NOR,@,ATL,L 13-23,*,28,50,56.00,341,0,5,37.6,6.82,2.32,0,0,,0,0,0
13,13,2012-12-09,33-329,NOR,@,NYG,L 27-52,*,26,43,60.47,354,1,2,75.1,8.23,6.60,1,-1,-1.00,0,0,0
14,14,2012-12-16,33-336,NOR,,TAM,W 41-0,*,26,39,66.67,307,4,0,124.6,7.87,9.92,1,11,11.00,0,0,0
15,15,2012-12-23,33-343,NOR,@,DAL,W 34-31,*,37,53,69.81,446,3,0,114.2,8.42,9.55,1,-1,-1.00,0,0,0
16,16,2012-12-30,33-350,NOR,,CAR,L 38-44,*,29,43,67.44,396,4,1,118.0,9.21,10.02,0,0,,0,0,0
,,16 Games,,,,,7-9-0,,422,670,62.99,5177,43,19,96.3,7.73,7.73,15,5,0.33,1,1,6
