
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,26-288,NOR,,ATL,W 23-17,7,4,45,11.25,1,1,6,0.0,0,0
2,2,2013-09-15,26-295,NOR,@,TAM,W 16-14,16,10,179,17.90,1,1,6,0.0,0,0
3,3,2013-09-22,26-302,NOR,,ARI,W 31-7,15,9,134,14.89,2,2,12,0.0,0,0
4,4,2013-09-30,26-310,NOR,,MIA,W 38-17,4,4,100,25.00,2,2,12,0.0,0,0
5,5,2013-10-06,26-316,NOR,@,CHI,W 26-18,11,10,135,13.50,0,0,0,0.0,0,0
6,6,2013-10-13,26-323,NOR,@,NWE,L 27-30,6,0,0,,0,0,0,0.0,0,0
7,7,2013-10-27,26-337,NOR,,BUF,W 35-17,3,3,37,12.33,2,2,12,0.0,0,0
8,8,2013-11-03,26-344,NOR,@,NYJ,L 20-26,12,9,116,12.89,2,2,12,0.0,0,0
9,9,2013-11-10,26-351,NOR,,DAL,W 49-17,5,5,59,11.80,0,0,0,0.0,0,0
10,10,2013-11-17,26-358,NOR,,SFO,W 23-20,11,6,41,6.83,0,0,0,0.0,1,0
11,11,2013-11-21,26-362,NOR,@,ATL,W 17-13,7,5,100,20.00,1,1,6,0.0,0,0
12,12,2013-12-02,27-008,NOR,@,SEA,L 7-34,9,3,42,14.00,1,1,6,0.0,0,0
13,13,2013-12-08,27-014,NOR,,CAR,W 31-13,11,6,58,9.67,2,2,12,0.0,0,0
14,14,2013-12-15,27-021,NOR,@,STL,L 16-27,6,2,25,12.50,0,0,0,0.0,1,0
15,15,2013-12-22,27-028,NOR,@,CAR,L 13-17,11,5,73,14.60,1,1,6,0.0,1,0
16,16,2013-12-29,27-035,NOR,,TAM,W 42-17,8,5,71,14.20,1,1,6,0.0,0,0
,,16 Games,,,,,11-5-0,142,86,1215,14.13,16,16,96,0.0,3,0
