
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,31-094,NOR,@,ATL,L 34-37,8,5,110,22.00,0,0,0,0.0,0,0
2,2,2014-09-14,31-101,NOR,@,CLE,L 24-26,,,,,,,,,,
3,3,2014-09-21,31-108,NOR,,MIN,W 20-9,5,2,25,12.50,1,1,6,0.0,0,0
4,4,2014-09-28,31-115,NOR,@,DAL,L 17-38,11,5,50,10.00,0,0,0,0.0,0,0
5,5,2014-10-05,31-122,NOR,,TAM,W 37-31,6,3,63,21.00,0,0,0,0.0,0,0
6,6,2014-10-19,31-136,NOR,@,DET,L 23-24,10,6,111,18.50,0,0,0,0.0,0,0
7,7,2014-10-26,31-143,NOR,,GNB,W 44-23,5,4,49,12.25,0,0,0,0.0,0,0
8,8,2014-10-30,31-147,NOR,@,CAR,W 28-10,3,3,36,12.00,0,0,0,0.0,0,0
9,9,2014-11-09,31-157,NOR,,SFO,L 24-27,4,2,36,18.00,0,0,0,0.0,0,0
10,10,2014-11-16,31-164,NOR,,CIN,L 10-27,8,4,56,14.00,0,0,0,0.0,0,0
11,11,2014-11-24,31-172,NOR,,BAL,L 27-34,4,4,82,20.50,1,1,6,0.0,0,0
12,12,2014-11-30,31-178,NOR,@,PIT,W 35-32,5,3,16,5.33,1,1,6,0.0,0,0
13,13,2014-12-07,31-185,NOR,,CAR,L 10-41,7,5,72,14.40,0,0,0,0.0,0,0
14,14,2014-12-15,31-193,NOR,@,CHI,W 31-15,7,5,65,13.00,1,1,6,0.0,0,0
15,15,2014-12-21,31-199,NOR,,ATL,L 14-30,10,6,80,13.33,0,0,0,0.0,1,0
16,16,2014-12-28,31-206,NOR,@,TAM,W 23-20,7,2,51,25.50,1,1,6,0.0,1,0
,,16 Games,,,,,7-9-0,100,59,902,15.29,5,5,30,0.0,2,0
