
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2011-09-08,24-288,NOR,@,GNB,L 34-42,7,4,56,14.00,1,1,6
2,2,2011-09-18,24-298,NOR,,CHI,W 30-13,7,6,79,13.17,0,0,0
3,3,2011-09-25,24-305,NOR,,HOU,W 40-33,8,4,100,25.00,1,1,6
4,4,2011-10-02,24-312,NOR,@,JAX,W 23-10,14,10,132,13.20,1,1,6
5,5,2011-10-09,24-319,NOR,@,CAR,W 30-27,12,8,129,16.13,0,0,0
6,6,2011-10-16,24-326,NOR,@,TAM,L 20-26,11,7,124,17.71,0,0,0
7,7,2011-10-23,24-333,NOR,,IND,W 62-7,7,6,54,9.00,2,2,12
8,8,2011-10-30,24-340,NOR,@,STL,L 21-31,8,4,39,9.75,0,0,0
9,9,2011-11-06,24-347,NOR,,TAM,W 27-16,8,6,78,13.00,0,0,0
10,10,2011-11-13,24-354,NOR,@,ATL,W 26-23,12,7,82,11.71,1,1,6
11,11,2011-11-28,25-004,NOR,,NYG,W 49-24,8,5,84,16.80,2,2,12
12,12,2011-12-04,25-010,NOR,,DET,W 31-17,10,8,89,11.13,0,0,0
13,13,2011-12-11,25-017,NOR,@,TEN,W 22-17,9,5,55,11.00,0,0,0
14,14,2011-12-18,25-024,NOR,@,MIN,W 42-20,10,7,70,10.00,1,1,6
15,15,2011-12-26,25-032,NOR,,ATL,W 45-16,9,4,42,10.50,1,1,6
16,16,2012-01-01,25-038,NOR,,CAR,W 45-17,9,8,97,12.13,1,1,6
,,16 Games,,,,,13-3-0,149,99,1310,13.23,11,11,66
