
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,30-095,NOR,,ATL,W 23-17,6,5,68,13.60,1,1,6,0.0,1,0
2,2,2013-09-15,30-102,NOR,@,TAM,W 16-14,7,4,63,15.75,0,0,0,0.0,0,0
3,3,2013-09-22,30-109,NOR,,ARI,W 31-7,8,5,71,14.20,0,0,0,0.0,0,0
4,4,2013-09-30,30-117,NOR,,MIA,W 38-17,8,7,96,13.71,0,0,0,0.0,0,0
5,5,2013-10-06,30-123,NOR,@,CHI,W 26-18,2,2,15,7.50,0,0,0,0.0,0,0
6,6,2013-10-13,30-130,NOR,@,NWE,L 27-30,3,1,11,11.00,0,0,0,0.0,0,0
7,7,2013-10-27,30-144,NOR,,BUF,W 35-17,6,3,18,6.00,0,0,0,0.0,0,0
8,9,2013-11-10,30-158,NOR,,DAL,W 49-17,8,7,107,15.29,1,1,6,0.0,0,0
9,10,2013-11-17,30-165,NOR,,SFO,W 23-20,8,5,80,16.00,0,0,0,0.0,0,0
10,11,2013-11-21,30-169,NOR,@,ATL,W 17-13,6,4,40,10.00,0,0,0,0.0,0,0
11,12,2013-12-02,30-180,NOR,@,SEA,L 7-34,7,4,27,6.75,0,0,0,0.0,0,0
12,13,2013-12-08,30-186,NOR,,CAR,W 31-13,13,9,125,13.89,2,2,12,0.0,0,0
13,14,2013-12-15,30-193,NOR,@,STL,L 16-27,13,8,92,11.50,1,1,6,0.0,1,0
14,15,2013-12-22,30-200,NOR,@,CAR,L 13-17,10,5,63,12.60,0,0,0,0.0,0,0
15,16,2013-12-29,30-207,NOR,,TAM,W 42-17,6,6,67,11.17,0,0,0,0.0,0,0
,,15 Games,,,,,11-4-0,111,75,943,12.57,5,5,30,0.0,2,0
