
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-08,28-080,NOR,@,GNB,L 34-42,2,7,3.50,0,9,7,75,10.71,0,2,76,38.00,0,2,92,46.00,1,0,6,0.0,0,0
2,2,2011-09-18,28-090,NOR,,CHI,W 30-13,4,17,4.25,0,10,8,43,5.38,1,1,24,24.00,0,2,1,0.50,0,1,6,0.0,0,0
3,3,2011-09-25,28-097,NOR,,HOU,W 40-33,2,35,17.50,1,9,6,50,8.33,0,4,103,25.75,0,1,5,5.00,0,1,6,0.0,0,0
4,4,2011-10-02,28-104,NOR,@,JAX,W 23-10,7,75,10.71,0,7,5,56,11.20,0,2,48,24.00,0,1,9,9.00,0,0,0,0.0,0,0
5,5,2011-10-09,28-111,NOR,@,CAR,W 30-27,11,51,4.64,0,7,5,40,8.00,0,0,0,,0,1,-3,-3.00,0,0,0,0.0,0,0
6,6,2011-10-16,28-118,NOR,@,TAM,L 20-26,1,16,16.00,0,11,8,46,5.75,0,3,69,23.00,0,1,-10,-10.00,0,0,0,0.0,0,0
7,7,2011-10-23,28-125,NOR,,IND,W 62-7,12,88,7.33,1,6,6,19,3.17,1,2,56,28.00,0,4,27,6.75,0,2,12,0.0,0,0
8,8,2011-10-30,28-132,NOR,@,STL,L 21-31,6,16,2.67,0,7,6,60,10.00,0,5,121,24.20,0,3,19,6.33,0,0,0,0.0,0,0
9,9,2011-11-06,28-139,NOR,,TAM,W 27-16,4,42,10.50,0,6,5,57,11.40,1,2,54,27.00,0,1,15,15.00,0,1,6,0.0,1,0
10,10,2011-11-13,28-146,NOR,@,ATL,W 26-23,2,1,0.50,0,6,4,2,0.50,0,3,84,28.00,0,2,18,9.00,0,0,0,0.0,0,0
11,11,2011-11-28,28-161,NOR,,NYG,W 49-24,8,54,6.75,0,5,2,28,14.00,0,2,62,31.00,0,0,0,,0,0,0,0.0,0,0
12,12,2011-12-04,28-167,NOR,,DET,W 31-17,4,28,7.00,0,5,5,46,9.20,1,3,74,24.67,0,2,13,6.50,0,1,6,0.0,0,0
13,13,2011-12-11,28-174,NOR,@,TEN,W 22-17,5,33,6.60,0,8,7,58,8.29,0,2,42,21.00,0,3,18,6.00,0,0,0,0.0,0,0
14,14,2011-12-18,28-181,NOR,@,MIN,W 42-20,8,33,4.13,0,6,5,79,15.80,1,3,75,25.00,0,3,45,15.00,0,1,6,0.0,0,0
15,15,2011-12-26,28-189,NOR,,ATL,W 45-16,5,67,13.40,0,3,2,22,11.00,1,4,147,36.75,0,0,,,0,1,6,0.0,0,0
16,16,2012-01-01,28-195,NOR,,CAR,W 45-17,6,40,6.67,0,6,5,29,5.80,1,2,54,27.00,0,3,45,15.00,0,1,6,0.0,0,0
,,16 Games,,,,,13-3-0,87,603,6.93,2,111,86,710,8.26,7,40,1089,27.23,0,29,294,10.14,1,9,60,0.0,1,0
