
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,29-096,NOR,,WAS,L 32-40,11,4,71,17.75,0,0,0
2,2,2012-09-16,29-103,NOR,@,CAR,L 27-35,4,3,49,16.33,0,0,0
3,3,2012-09-23,29-110,NOR,,KAN,L 24-27,4,3,40,13.33,0,0,0
4,4,2012-09-30,29-117,NOR,@,GNB,L 27-28,13,9,153,17.00,1,1,6
5,5,2012-10-07,29-124,NOR,,SDG,W 31-24,18,9,131,14.56,3,3,18
6,6,2012-10-21,29-138,NOR,@,TAM,W 35-28,10,7,73,10.43,1,1,6
7,7,2012-10-28,29-145,NOR,@,DEN,L 14-34,10,5,63,12.60,0,0,0
8,8,2012-11-05,29-153,NOR,,PHI,W 28-13,4,4,46,11.50,1,1,6
9,9,2012-11-11,29-159,NOR,,ATL,W 31-27,6,3,26,8.67,1,1,6
10,10,2012-11-18,29-166,NOR,@,OAK,W 38-17,6,4,69,17.25,0,0,0
11,11,2012-11-25,29-173,NOR,,SFO,L 21-31,5,4,36,9.00,1,1,6
12,12,2012-11-29,29-177,NOR,@,ATL,L 13-23,11,6,71,11.83,0,0,0
13,13,2012-12-09,29-187,NOR,@,NYG,L 27-52,4,4,61,15.25,0,0,0
14,14,2012-12-16,29-194,NOR,,TAM,W 41-0,3,3,60,20.00,0,0,0
15,15,2012-12-23,29-201,NOR,@,DAL,W 34-31,13,10,153,15.30,0,0,0
16,16,2012-12-30,29-208,NOR,,CAR,L 38-44,8,5,52,10.40,2,2,12
,,16 Games,,,,,7-9-0,130,83,1154,13.90,10,10,60
