
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-09,33-075,PHI,@,WAS,W 33-27,*,15,25,60.00,203,2,0,112.6,8.12,9.72,9,54,6.00,1,0,0,0,,0,1,6,0.0,0,0
2,2,2013-09-15,33-081,PHI,,SDG,L 30-33,*,23,36,63.89,428,2,0,123.4,11.89,13.00,5,34,6.80,1,0,0,-2,,0,1,6,0.0,0,0
3,3,2013-09-19,33-085,PHI,,KAN,L 16-26,*,13,30,43.33,201,1,2,49.4,6.70,4.37,4,99,24.75,0,0,0,0,,0,0,0,0.0,1,0
4,4,2013-09-29,33-095,PHI,@,DEN,L 20-52,*,14,27,51.85,248,0,0,83.6,9.19,9.19,8,41,5.13,0,0,0,0,,0,0,0,0.0,0,0
5,5,2013-10-06,33-102,PHI,@,NYG,W 36-21,*,6,14,42.86,105,0,0,69.0,7.50,7.50,7,79,11.29,0,0,0,0,,0,0,0,0.0,0,0
6,8,2013-10-27,33-123,PHI,,NYG,L 7-15,*,6,9,66.67,30,0,1,31.9,3.33,-1.67,1,1,1.00,0,0,0,0,,0,0,0,0.0,0,0
7,15,2013-12-22,33-179,PHI,,CHI,W 54-11,,0,0,,0,0,0,,,,2,-2,-1.00,0,0,0,0,,0,0,0,0.0,0,0
,,7 Games,,,,,3-4-0,,77,141,54.61,1215,5,3,86.5,8.62,8.37,36,306,8.50,2,0,0,-2,,0,2,12,0.0,1,0
