
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,1,2014-09-07,25-230,PHI,,JAX,W 34-17,*,27,45,60.00,322,2,1,87.5,7.16,7.04,0,0,,0,0.0,0,0
2,2,2014-09-15,25-238,PHI,@,IND,W 30-27,*,21,37,56.76,331,1,1,84.4,8.95,8.27,4,22,5.50,0,0.0,0,0
3,3,2014-09-21,25-244,PHI,,WAS,W 37-34,*,27,41,65.85,325,3,0,114.4,7.93,9.39,4,12,3.00,0,0.0,0,0
4,4,2014-09-28,25-251,PHI,@,SFO,L 21-26,*,21,43,48.84,195,0,2,42.3,4.53,2.44,1,1,1.00,0,0.0,0,0
5,5,2014-10-05,25-258,PHI,,STL,W 34-28,*,24,37,64.86,207,2,1,86.2,5.59,5.46,2,13,6.50,0,0.0,0,0
6,6,2014-10-12,25-265,PHI,,NYG,W 27-0,*,21,34,61.76,248,2,2,79.0,7.29,5.82,2,5,2.50,0,0.0,1,0
7,7,2014-10-26,25-279,PHI,@,ARI,L 20-24,*,36,62,58.06,411,2,2,75.4,6.63,5.82,2,14,7.00,0,0.0,0,0
8,8,2014-11-02,25-286,PHI,@,HOU,W 31-21,*,9,12,75.00,124,1,1,100.7,10.33,8.25,1,1,1.00,0,0.0,0,0
,,8 Games,,,,,6-2-0,,186,311,59.81,2163,13,10,81.4,6.95,6.34,16,68,4.25,0,0.0,1,0
