
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1,2012-09-09,21-118,PHI,@,CLE,W 17-16,2,3,1.50,0,0,0,0,,0,0,0,,0,0,0
2,2,2012-09-16,21-125,PHI,,BAL,W 24-23,3,7,2.33,0,0,0,0,,0,0,0,,0,0,0
3,3,2012-09-23,21-132,PHI,@,ARI,L 6-27,4,28,7.00,0,2,1,8,8.00,0,0,0,,0,0,0
4,4,2012-09-30,21-139,PHI,,NYG,W 19-17,4,5,1.25,0,0,0,0,,0,0,0,,0,0,0
5,5,2012-10-07,21-146,PHI,@,PIT,L 14-16,1,4,4.00,0,0,0,0,,0,0,0,,0,0,0
6,6,2012-10-14,21-153,PHI,,DET,L 23-26,5,4,0.80,0,0,0,0,,0,0,0,,0,0,0
7,7,2012-10-28,21-167,PHI,,ATL,L 17-30,1,5,5.00,0,0,0,0,,0,0,0,,0,0,0
8,8,2012-11-05,21-175,PHI,@,NOR,L 13-28,4,49,12.25,0,0,0,0,,0,0,0,,0,0,0
9,9,2012-11-11,21-181,PHI,,DAL,L 23-38,3,1,0.33,0,0,0,0,,0,0,0,,0,0,0
10,10,2012-11-18,21-188,PHI,@,WAS,L 6-31,5,35,7.00,0,0,0,0,,0,3,66,22.00,0,0,0
11,11,2012-11-26,21-196,PHI,,CAR,L 22-30,19,178,9.37,2,5,4,11,2.75,0,0,0,,0,2,12
12,12,2012-12-02,21-202,PHI,@,DAL,L 33-38,24,169,7.04,2,5,4,14,3.50,0,0,0,,0,2,12
13,13,2012-12-09,21-209,PHI,@,TAM,W 23-21,12,6,0.50,0,4,2,6,3.00,0,0,0,,0,0,0
14,14,2012-12-13,21-213,PHI,,CIN,L 13-34,16,34,2.13,0,2,1,11,11.00,0,0,0,,0,0,0
15,15,2012-12-23,21-223,PHI,,WAS,L 20-27,4,18,4.50,0,0,0,0,,0,4,74,18.50,0,0,0
16,16,2012-12-30,21-230,PHI,@,NYG,L 7-42,8,18,2.25,0,1,1,6,6.00,0,1,16,16.00,0,0,0
,,16 Games,,,,,4-12-0,115,564,4.90,4,19,13,56,4.31,0,8,156,19.50,0,4,24
