
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,26-119,PHI,,JAX,W 34-17,10,4,97,24.25,1,0,0,,0,1,6,0.0,0,0
2,2,2014-09-15,26-127,PHI,@,IND,W 30-27,11,4,45,11.25,1,0,0,,0,1,6,0.0,1,0
3,3,2014-09-21,26-133,PHI,,WAS,W 37-34,10,8,154,19.25,1,0,0,,0,1,6,0.0,1,0
4,4,2014-09-28,26-140,PHI,@,SFO,L 21-26,15,4,57,14.25,0,0,0,,0,0,0,0.0,2,0
5,5,2014-10-05,26-147,PHI,,STL,W 34-28,11,5,76,15.20,1,0,0,,0,1,6,0.0,2,0
6,6,2014-10-12,26-154,PHI,,NYG,W 27-0,3,2,16,8.00,0,0,0,,0,0,0,0.0,0,0
7,7,2014-10-26,26-168,PHI,@,ARI,L 20-24,16,12,187,15.58,2,2,25,12.50,0,2,12,0.0,2,0
8,8,2014-11-02,26-175,PHI,@,HOU,W 31-21,7,6,158,26.33,2,0,0,,0,2,12,0.0,0,0
9,9,2014-11-10,26-183,PHI,,CAR,W 45-21,7,3,38,12.67,0,0,0,,0,0,0,0.0,0,0
10,10,2014-11-16,26-189,PHI,@,GNB,L 20-53,11,9,93,10.33,1,0,0,,0,1,6,0.0,1,0
11,11,2014-11-23,26-196,PHI,,TEN,W 43-24,8,6,59,9.83,0,0,0,,0,0,0,0.0,1,0
12,12,2014-11-27,26-200,PHI,@,DAL,W 33-10,10,8,108,13.50,0,0,0,,0,0,0,0.0,0,0
13,13,2014-12-07,26-210,PHI,,SEA,L 14-24,6,3,21,7.00,1,0,0,,0,1,6,0.0,0,0
14,14,2014-12-14,26-217,PHI,,DAL,L 27-38,6,4,98,24.50,0,0,0,,0,0,0,0.0,0,0
15,15,2014-12-20,26-223,PHI,@,WAS,L 24-27,6,4,62,15.50,0,0,0,,0,0,0,0.0,1,0
16,16,2014-12-28,26-231,PHI,@,NYG,W 34-26,6,3,49,16.33,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,10-6-0,143,85,1318,15.51,10,2,25,12.50,0,10,60,0.0,11,0
