
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,23-123,PHI,@,STL,W 31-13,3,1,20,20.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,23-130,PHI,@,ATL,L 31-35,15,13,171,13.15,2,1,1,1.00,0,0,0,,0,2,12,0.0,0,0
3,3,2011-09-25,23-137,PHI,,NYG,L 16-29,7,5,69,13.80,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,4,2011-10-02,23-144,PHI,,SFO,L 23-24,11,7,74,10.57,0,0,0,,0,0,0,,0,0,0,0.0,1,0
5,5,2011-10-09,23-151,PHI,@,BUF,L 24-31,8,6,54,9.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
6,6,2011-10-16,23-158,PHI,@,WAS,W 20-13,7,5,101,20.20,0,0,0,,0,0,0,,0,0,0,0.0,1,0
7,7,2011-10-30,23-172,PHI,,DAL,W 34-7,3,3,54,18.00,1,0,0,,0,2,12,6.00,0,1,6,0.0,0,0
8,8,2011-11-07,23-180,PHI,,CHI,L 24-30,9,4,63,15.75,0,0,0,,0,0,0,,0,0,0,0.0,0,0
9,9,2011-11-13,23-186,PHI,,ARI,L 17-21,5,2,6,3.00,0,0,0,,0,2,17,8.50,0,0,0,0.0,0,0
10,13,2011-12-11,23-214,PHI,@,MIA,W 26-10,4,1,13,13.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,14,2011-12-18,23-221,PHI,,NYJ,W 45-19,5,3,57,19.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
12,15,2011-12-24,23-227,PHI,@,DAL,W 20-7,6,5,72,14.40,1,0,0,,0,0,0,,0,1,6,0.0,0,0
13,16,2012-01-01,23-235,PHI,,WAS,W 34-10,13,8,105,13.13,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,13 Games,,,,,7-6-0,96,63,859,13.63,5,1,1,1.00,0,4,29,7.25,0,5,30,0.0,2,0
