
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,8,2014-11-02,27-356,PHI,@,HOU,W 31-21,,15,22,68.18,202,2,2,89.6,9.18,6.91,5,5,1.00,0,0,0
2,9,2014-11-10,27-364,PHI,,CAR,W 45-21,*,20,37,54.05,332,2,0,102.5,8.97,10.05,2,-1,-0.50,0,0,0
3,10,2014-11-16,28-005,PHI,@,GNB,L 20-53,*,26,44,59.09,346,2,2,80.3,7.86,6.73,3,0,0.00,0,0,0
4,11,2014-11-23,28-012,PHI,,TEN,W 43-24,*,30,43,69.77,307,1,2,78.3,7.14,5.51,4,4,1.00,0,0,0
5,12,2014-11-27,28-016,PHI,@,DAL,W 33-10,*,20,29,68.97,217,1,0,102.2,7.48,8.17,7,28,4.00,1,1,6
6,13,2014-12-07,28-026,PHI,,SEA,L 14-24,*,10,20,50.00,96,2,1,76.2,4.80,4.55,1,7,7.00,0,0,0
7,14,2014-12-14,28-033,PHI,,DAL,L 27-38,*,17,28,60.71,252,0,2,60.4,9.00,5.79,0,0,,0,0,0
8,15,2014-12-20,28-039,PHI,@,WAS,L 24-27,*,37,50,74.00,374,2,1,99.9,7.48,7.38,5,22,4.40,0,0,0
9,16,2014-12-28,28-047,PHI,@,NYG,W 34-26,*,23,36,63.89,292,2,1,96.1,8.11,7.97,7,22,3.14,0,0,0
,,9 Games,,,,,5-4-0,,198,309,64.08,2418,14,11,88.4,7.83,7.13,34,87,2.56,1,1,6
