
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-09,25-059,PHI,@,WAS,W 33-27,31,184,5.94,1,1,1,5,5.00,0,1,6,0.0,0,0
2,2,2013-09-15,25-065,PHI,,SDG,L 30-33,11,53,4.82,0,6,5,114,22.80,0,0,0,0.0,0,0
3,3,2013-09-19,25-069,PHI,,KAN,L 16-26,20,158,7.90,1,1,0,0,,0,1,6,0.0,0,0
4,4,2013-09-29,25-079,PHI,@,DEN,L 20-52,16,73,4.56,0,3,1,21,21.00,0,0,0,0.0,0,0
5,5,2013-10-06,25-086,PHI,@,NYG,W 36-21,20,46,2.30,1,8,6,46,7.67,0,1,6,0.0,0,0
6,6,2013-10-13,25-093,PHI,@,TAM,W 31-20,25,116,4.64,0,2,2,55,27.50,0,0,0,0.0,1,0
7,7,2013-10-20,25-100,PHI,,DAL,L 3-17,18,55,3.06,0,7,6,26,4.33,0,0,0,0.0,0,0
8,8,2013-10-27,25-107,PHI,,NYG,L 7-15,15,48,3.20,0,5,4,17,4.25,0,0,0,0.0,0,0
9,9,2013-11-03,25-114,PHI,@,OAK,W 49-20,12,44,3.67,0,4,4,36,9.00,1,1,6,0.0,0,0
10,10,2013-11-10,25-121,PHI,@,GNB,W 27-13,25,155,6.20,0,1,1,6,6.00,0,0,0,0.0,0,0
11,11,2013-11-17,25-128,PHI,,WAS,W 24-16,20,77,3.85,2,4,4,73,18.25,0,2,12,0.0,0,0
12,12,2013-12-01,25-142,PHI,,ARI,W 24-21,19,79,4.16,0,6,5,36,7.20,0,0,0,0.0,0,0
13,13,2013-12-08,25-149,PHI,,DET,W 34-20,29,217,7.48,2,1,1,4,4.00,0,2,12,0.0,0,0
14,14,2013-12-15,25-156,PHI,@,MIN,L 30-48,8,38,4.75,0,7,5,68,13.60,0,0,0,0.0,0,0
15,15,2013-12-22,25-163,PHI,,CHI,W 54-11,18,133,7.39,2,6,6,29,4.83,0,2,12,0.0,0,0
16,16,2013-12-29,25-170,PHI,@,DAL,W 24-22,27,131,4.85,0,2,1,3,3.00,1,1,6,0.0,0,0
,,16 Games,,,,,10-6-0,314,1607,5.12,9,64,52,539,10.37,2,11,66,0.0,1,0
