
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,25-032,CLE,,MIA,L 10-23,13,9,108,12.00,1,1,6,0.0,0,0
2,2,2013-09-15,25-039,CLE,@,BAL,L 6-14,7,5,95,19.00,0,0,0,0.0,0,0
3,3,2013-09-22,25-046,CLE,@,MIN,W 31-27,11,6,66,11.00,3,3,18,0.0,0,0
4,4,2013-09-29,25-053,CLE,,CIN,W 17-6,12,10,91,9.10,1,1,6,0.0,0,0
5,5,2013-10-03,25-057,CLE,,BUF,W 37-24,5,3,36,12.00,0,0,0,0.0,0,0
6,6,2013-10-13,25-067,CLE,,DET,L 17-31,6,5,64,12.80,0,0,0,0.0,0,0
7,7,2013-10-20,25-074,CLE,@,GNB,L 13-31,9,7,55,7.86,1,1,6,0.0,0,0
8,8,2013-10-27,25-081,CLE,@,KAN,L 17-23,4,4,81,20.25,0,0,0,0.0,0,0
9,9,2013-11-03,25-088,CLE,,BAL,W 24-18,5,1,4,4.00,0,0,0,0.0,0,0
10,10,2013-11-17,25-102,CLE,@,CIN,L 20-41,7,6,29,4.83,0,0,0,0.0,0,0
11,11,2013-11-24,25-109,CLE,,PIT,L 11-27,10,3,32,10.67,0,0,0,0.0,0,0
12,12,2013-12-01,25-116,CLE,,JAX,L 28-32,7,4,43,10.75,0,0,0,0.0,0,0
13,13,2013-12-08,25-123,CLE,@,NWE,L 26-27,9,9,121,13.44,1,1,6,0.0,0,0
14,14,2013-12-15,25-130,CLE,,CHI,L 31-38,6,3,23,7.67,0,0,0,0.0,1,0
15,16,2013-12-29,25-144,CLE,@,PIT,L 7-20,7,5,69,13.80,0,0,0,0.0,0,0
,,15 Games,,,,,4-11-0,118,80,917,11.46,7,7,42,0.0,1,0
