
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
3,Brandon Weeden,29,QB,15,15,5-10-0,297,517,57.4,3385,14,2.7,17,3.3,71,6.5,5.6,11.4,225.7,72.6,26.96,28,186,5.87,4.98,5.1,1,1
9,Thaddeus Lewis,27,,1,1,0-1-0,22,32,68.8,204,1,3.1,1,3.1,23,6.4,5.6,9.3,204.0,83.3,61.69,3,14,5.43,4.71,8.6,,
12,Colt McCoy,25,,3,0,,9,17,52.9,79,1,5.9,0,0.0,21,4.6,5.8,8.8,26.3,85.2,11.8,4,25,2.57,3.52,19.0,,
8,Josh Johnson,26,,1,0,,0,0,,0,0,,0,,0,,,,0.0,,0,1,8,-8.00,-8.00,100.0,,
,Team Total,25.5,,16,,5-11-0,328,566,58.0,3668,16,2.8,18,3.2,71,6.5,5.6,11.2,229.3,73.5,,36,233,5.71,4.89,6.0,1,1
,Opp Total,,,16,,,378,600,63.0,4156,27,4.5,17,2.8,,6.9,6.55,11.0,259.8,86.6,,38,233,6.1,5.8,6.0,,
