
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
17,Jason Campbell,32,QB,9,8,1-7-0,180,317,56.8,2015,11,3.5,8,2.5,80,6.4,5.9,11.2,223.9,76.9,38.6,16,104,5.74,5.32,4.8,,
3,Brandon Weeden,30,s,8,5,0-5-0,141,267,52.8,1731,9,3.4,9,3.4,95,6.5,5.6,12.3,216.4,70.3,24.7,27,180,5.28,4.51,9.2,0,1
6,Brian Hoyer,28,,3,3,3-0-0,57,96,59.4,615,5,5.2,3,3.1,47,6.4,6.0,10.8,205.0,82.6,47.54,6,48,5.56,5.22,5.9,1,1
5,Spencer Lanning,25,,16,0,,1,1,100.0,11,1,100.0,0,0.0,11,11.0,31.0,11.0,0.7,152.1,,0,0,11.00,31.00,0.0,,
,Team Total,25.1,,16,,4-12-0,379,681,55.7,4372,26,3.8,20,2.9,95,6.4,5.9,11.5,273.3,75.7,,49,332,5.53,5.01,6.7,1,2
,Opp Total,,,16,,,363,605,60.0,3723,29,4.8,14,2.3,,6.2,6.07,10.3,232.7,84.1,,40,185,5.5,5.4,6.2,,
