
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,26-251,CLE,,CIN,L 17-27,6,3,35,11.67,1,1,6,0.0,0,0
2,2,2011-09-18,26-258,CLE,@,IND,W 27-19,1,1,16,16.00,1,1,6,0.0,0,0
3,3,2011-09-25,26-265,CLE,,MIA,W 17-16,3,2,19,9.50,0,0,0,0.0,0,0
4,4,2011-10-02,26-272,CLE,,TEN,L 13-31,2,1,15,15.00,0,0,0,0.0,0,0
5,5,2011-10-16,26-286,CLE,@,OAK,L 17-24,4,3,16,5.33,0,0,0,0.0,0,0
6,6,2011-10-23,26-293,CLE,,SEA,W 6-3,5,4,35,8.75,0,0,0,0.0,1,0
7,7,2011-10-30,26-300,CLE,@,SFO,L 10-20,2,2,17,8.50,0,0,0,0.0,0,0
8,8,2011-11-06,26-307,CLE,@,HOU,L 12-30,2,2,11,5.50,0,0,0,0.0,0,0
9,9,2011-11-13,26-314,CLE,,STL,L 12-13,0,,,,,,,,,
10,10,2011-11-20,26-321,CLE,,JAX,W 14-10,0,,,,,,,,,
11,11,2011-11-27,26-328,CLE,@,CIN,L 20-23,1,1,3,3.00,0,0,0,0.0,0,0
12,12,2011-12-04,26-335,CLE,,BAL,L 10-24,3,2,28,14.00,1,1,6,0.0,0,0
13,13,2011-12-08,26-339,CLE,@,PIT,L 3-14,5,4,55,13.75,0,0,0,0.0,0,0
14,14,2011-12-18,26-349,CLE,@,ARI,L 17-20,,,,,,,,,,
15,15,2011-12-24,26-355,CLE,@,BAL,L 14-20,7,5,35,7.00,1,1,6,0.0,0,0
16,16,2012-01-01,26-363,CLE,,PIT,L 9-13,5,4,39,9.75,0,0,0,0.0,1,0
,,16 Games,,,,,4-12-0,46,34,324,9.53,4,4,24,0.0,2,0
