
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,23-102,CLE,,PHI,L 16-17,4,0,0,,0,0,0,,0,0,0
2,2,2012-09-16,23-109,CLE,@,CIN,L 27-34,7,5,57,11.40,1,0,0,,0,1,6
3,3,2012-09-23,23-116,CLE,,BUF,L 14-24,4,2,17,8.50,0,0,0,,0,0,0
4,4,2012-09-27,23-120,CLE,@,BAL,L 16-23,10,4,77,19.25,0,1,-2,-2.00,0,0,0
5,5,2012-10-07,23-130,CLE,@,NYG,L 27-41,2,0,0,,0,0,0,,0,0,0
6,6,2012-10-14,23-137,CLE,,CIN,W 34-24,5,3,18,6.00,0,0,0,,0,0,0
7,7,2012-10-21,23-144,CLE,@,IND,L 13-17,9,6,52,8.67,1,0,0,,0,1,6
8,8,2012-10-28,23-151,CLE,,SDG,W 7-6,5,2,28,14.00,0,0,0,,0,0,0
9,9,2012-11-04,23-158,CLE,,BAL,L 15-25,7,5,52,10.40,0,0,0,,0,0,0
10,10,2012-11-18,23-172,CLE,@,DAL,L 20-23,4,3,53,17.67,0,0,0,,0,0,0
11,11,2012-11-25,23-179,CLE,,PIT,W 20-14,4,1,6,6.00,0,0,0,,0,0,0
12,12,2012-12-02,23-186,CLE,@,OAK,W 20-17,5,4,48,12.00,0,0,0,,0,0,0
13,13,2012-12-09,23-193,CLE,,KAN,W 30-7,7,4,69,17.25,0,1,17,17.00,0,0,0
14,14,2012-12-16,23-200,CLE,,WAS,L 21-38,9,5,74,14.80,0,0,0,,0,0,0
15,15,2012-12-23,23-207,CLE,@,DEN,L 12-34,7,6,58,9.67,1,0,0,,0,1,6
16,16,2012-12-30,23-214,CLE,@,PIT,L 10-24,5,3,38,12.67,1,0,0,,0,1,6
,,16 Games,,,,,5-11-0,94,53,647,12.21,4,2,15,7.50,0,4,24
